country,city,year,avg_temp
Tunisia,Tunis,1743,14.72
Tunisia,Tunis,1744,19.66
Tunisia,Tunis,1745,11.82
Tunisia,Tunis,1746,
Tunisia,Tunis,1747,
Tunisia,Tunis,1748,
Tunisia,Tunis,1749,
Tunisia,Tunis,1750,18.83
Tunisia,Tunis,1751,19.40
Tunisia,Tunis,1752,
Tunisia,Tunis,1753,18.45
Tunisia,Tunis,1754,18.47
Tunisia,Tunis,1755,18.21
Tunisia,Tunis,1756,18.67
Tunisia,Tunis,1757,18.43
Tunisia,Tunis,1758,17.25
Tunisia,Tunis,1759,18.36
Tunisia,Tunis,1760,17.94
Tunisia,Tunis,1761,18.62
Tunisia,Tunis,1762,18.56
Tunisia,Tunis,1763,17.90
Tunisia,Tunis,1764,18.62
Tunisia,Tunis,1765,18.57
Tunisia,Tunis,1766,18.52
Tunisia,Tunis,1767,18.20
Tunisia,Tunis,1768,17.43
Tunisia,Tunis,1769,18.27
Tunisia,Tunis,1770,18.18
Tunisia,Tunis,1771,18.62
Tunisia,Tunis,1772,19.58
Tunisia,Tunis,1773,18.28
Tunisia,Tunis,1774,18.76
Tunisia,Tunis,1775,18.94
Tunisia,Tunis,1776,18.27
Tunisia,Tunis,1777,18.09
Tunisia,Tunis,1778,18.68
Tunisia,Tunis,1779,18.75
Tunisia,Tunis,1780,19.14
Tunisia,Tunis,1781,18.67
Tunisia,Tunis,1782,18.04
Tunisia,Tunis,1783,18.33
Tunisia,Tunis,1784,18.27
Tunisia,Tunis,1785,17.99
Tunisia,Tunis,1786,18.36
Tunisia,Tunis,1787,18.54
Tunisia,Tunis,1788,18.97
Tunisia,Tunis,1789,18.00
Tunisia,Tunis,1790,18.57
Tunisia,Tunis,1791,18.70
Tunisia,Tunis,1792,18.41
Tunisia,Tunis,1793,17.99
Tunisia,Tunis,1794,18.24
Tunisia,Tunis,1795,18.42
Tunisia,Tunis,1796,18.50
Tunisia,Tunis,1797,18.37
Tunisia,Tunis,1798,18.54
Tunisia,Tunis,1799,18.58
Tunisia,Tunis,1800,18.98
Tunisia,Tunis,1801,18.95
Tunisia,Tunis,1802,19.08
Tunisia,Tunis,1803,18.66
Tunisia,Tunis,1804,19.01
Tunisia,Tunis,1805,18.00
Tunisia,Tunis,1806,18.47
Tunisia,Tunis,1807,18.57
Tunisia,Tunis,1808,17.39
Tunisia,Tunis,1809,17.63
Tunisia,Tunis,1810,17.76
Tunisia,Tunis,1811,18.17
Tunisia,Tunis,1812,17.35
Tunisia,Tunis,1813,17.59
Tunisia,Tunis,1814,17.11
Tunisia,Tunis,1815,17.82
Tunisia,Tunis,1816,17.15
Tunisia,Tunis,1817,17.85
Tunisia,Tunis,1818,18.30
Tunisia,Tunis,1819,18.05
Tunisia,Tunis,1820,18.30
Tunisia,Tunis,1821,18.05
Tunisia,Tunis,1822,18.76
Tunisia,Tunis,1823,17.92
Tunisia,Tunis,1824,18.20
Tunisia,Tunis,1825,18.16
Tunisia,Tunis,1826,17.99
Tunisia,Tunis,1827,18.14
Tunisia,Tunis,1828,18.64
Tunisia,Tunis,1829,17.92
Tunisia,Tunis,1830,18.40
Tunisia,Tunis,1831,18.36
Tunisia,Tunis,1832,18.12
Tunisia,Tunis,1833,18.03
Tunisia,Tunis,1834,18.33
Tunisia,Tunis,1835,17.57
Tunisia,Tunis,1836,17.82
Tunisia,Tunis,1837,17.39
Tunisia,Tunis,1838,18.11
Tunisia,Tunis,1839,18.13
Tunisia,Tunis,1840,18.25
Tunisia,Tunis,1841,18.62
Tunisia,Tunis,1842,18.14
Tunisia,Tunis,1843,18.25
Tunisia,Tunis,1844,18.32
Tunisia,Tunis,1845,18.22
Tunisia,Tunis,1846,19.00
Tunisia,Tunis,1847,18.08
Tunisia,Tunis,1848,18.08
Tunisia,Tunis,1849,18.24
Tunisia,Tunis,1850,17.71
Tunisia,Tunis,1851,17.74
Tunisia,Tunis,1852,18.54
Tunisia,Tunis,1853,18.29
Tunisia,Tunis,1854,17.68
Tunisia,Tunis,1855,18.05
Tunisia,Tunis,1856,18.04
Tunisia,Tunis,1857,17.88
Tunisia,Tunis,1858,18.10
Tunisia,Tunis,1859,18.20
Tunisia,Tunis,1860,17.85
Tunisia,Tunis,1861,18.06
Tunisia,Tunis,1862,18.74
Tunisia,Tunis,1863,18.43
Tunisia,Tunis,1864,18.24
Tunisia,Tunis,1865,18.35
Tunisia,Tunis,1866,18.50
Tunisia,Tunis,1867,18.63
Tunisia,Tunis,1868,18.15
Tunisia,Tunis,1869,18.18
Tunisia,Tunis,1870,18.12
Tunisia,Tunis,1871,17.92
Tunisia,Tunis,1872,18.51
Tunisia,Tunis,1873,18.25
Tunisia,Tunis,1874,17.92
Tunisia,Tunis,1875,17.97
Tunisia,Tunis,1876,18.43
Tunisia,Tunis,1877,18.31
Tunisia,Tunis,1878,18.82
Tunisia,Tunis,1879,18.16
Tunisia,Tunis,1880,18.40
Tunisia,Tunis,1881,18.59
Tunisia,Tunis,1882,18.02
Tunisia,Tunis,1883,17.55
Tunisia,Tunis,1884,17.49
Tunisia,Tunis,1885,18.11
Tunisia,Tunis,1886,17.93
Tunisia,Tunis,1887,18.07
Tunisia,Tunis,1888,18.02
Tunisia,Tunis,1889,17.75
Tunisia,Tunis,1890,17.40
Tunisia,Tunis,1891,17.64
Tunisia,Tunis,1892,18.42
Tunisia,Tunis,1893,18.75
Tunisia,Tunis,1894,18.19
Tunisia,Tunis,1895,18.72
Tunisia,Tunis,1896,17.80
Tunisia,Tunis,1897,18.66
Tunisia,Tunis,1898,18.34
